Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
687,1.135337704,1.557996788,1.905789362,2.744971228,2.974221666,3.073726731,,,
688,1.126914356,1.551795083,1.902732481,2.738260788,2.969812774,3.065815885,,,
689,1.109960709,1.548935074,1.893869864,2.727274523,2.960782253,3.063604664,,,
690,1.091174089,1.529914008,1.87172838,2.724549948,2.95803792,3.061957315,,,
691,1.076273753,1.516667982,1.87324766,2.722041947,2.956873373,3.060002061,,,
692,1.065164236,1.502852082,1.859795977,2.718367495,2.954320583,3.055104089,,,
693,1.058030814,1.495752154,1.852145048,2.714989904,2.948705068,3.042879625,,,
694,1.034038052,1.484150916,1.842912647,2.716097695,2.947246318,3.042644819,,,
695,1.030555788,1.476687027,1.830003049,2.706105922,2.937404296,3.030360199,,,
696,1.015510928,1.4663526,1.818570161,2.70406623,2.927332462,3.031952185,,,
697,1.001930291,1.454856646,1.801006734,2.69182256,2.915954158,3.029978489,,,
698,0.981064571,1.453243308,1.788121205,2.690269948,2.914287257,3.029388035,,,
699,0.967816945,1.435830433,1.786255993,2.686966583,2.9158949,3.030980021,,,
700,0.954080735,1.427197134,1.769401589,2.681715457,2.902985467,3.02851746,,,
701,0.937235204,1.41399691,1.756260287,2.672852286,2.90459311,3.018212918,,,
702,0.927167349,1.406224653,1.750123684,2.674257149,2.900508734,3.019804905,,,
703,0.903606482,1.391484888,1.745624782,2.669875177,2.897224061,3.010543062,,,
704,0.893489402,1.375664743,1.730503659,2.657259428,2.8920574,3.010843735,,,
705,0.882219667,1.37725661,1.721174535,2.653890523,2.886937601,3.006101423,,,
706,0.868733524,1.368912919,1.719970404,2.645464165,2.888545244,2.997608409,,,
707,0.853921718,1.351385489,1.704407362,2.64705349,2.890152887,2.993840884,,,
708,0.838142027,1.350787124,1.694333104,2.647724641,2.891489539,2.985700244,,,
709,0.823920409,1.336379528,1.681296165,2.631147446,2.87731327,2.980561886,,,
710,0.808140184,1.318574346,1.678076993,2.627848047,2.875923769,2.976156298,,,
711,0.794391354,1.303385656,1.665901678,2.618463061,2.874368758,2.973108738,,,
712,0.779943409,1.298604848,1.651765372,2.611055502,2.867200824,2.965991524,,,
713,0.765042539,1.291893188,1.638726074,2.612644828,2.863066162,2.965857317,,,
714,0.750175267,1.2711201,1.627045183,2.614234154,2.860515986,2.964554967,,,
715,0.735547468,1.259226079,1.62420778,2.605531075,2.856564266,2.964223218,,,
716,0.713179022,1.241855908,1.618673397,2.595412435,2.84285181,2.963584028,,,
717,0.702246767,1.243447774,1.606149398,2.583309399,2.844459453,2.951933677,,,
718,0.686194408,1.224216958,1.594232536,2.584898725,2.844699022,2.939837699,,,
719,0.661983836,1.218993788,1.585417672,2.581422541,2.836647456,2.939858561,,,
720,0.649721591,1.208244887,1.581068547,2.570276008,2.826019195,2.939082262,,,
721,0.635913141,1.200597441,1.575812716,2.561259381,2.821913423,2.935304783,,,
722,0.610409534,1.188357533,1.551757404,2.56173025,2.819387172,2.933995594,,,
723,0.598236195,1.174815581,1.546627338,2.553127116,2.818117883,2.934764434,,,
724,0.5774079,1.153517336,1.531275385,2.53951637,2.815073985,2.920520784,,,
725,0.565886709,1.147673229,1.522364242,2.540073582,2.811603772,2.92211277,,,
726,0.542849987,1.133437598,1.512630819,2.528020926,2.806191588,2.913478087,,,
727,0.530031025,1.124077288,1.503017959,2.529610251,2.802001086,2.915070073,,,
728,0.514672223,1.112302514,1.490344466,2.517665311,2.797292296,2.909183199,,,
729,0.492566189,1.107484863,1.491935332,2.515266336,2.791561168,2.906776872,,,
730,0.476410628,1.094784739,1.479802218,2.506414594,2.787424708,2.896536803,,,
731,0.46895793,1.081157713,1.462373017,2.504280975,2.782027285,2.89501545,,,
732,0.463750651,1.066929477,1.461323112,2.497097172,2.777589847,2.895238562,,,
733,0.4422519,1.048517268,1.45402795,2.498686498,2.772876347,2.891565545,,,
734,0.421812214,1.027187392,1.439129026,2.486850123,2.768391428,2.88278492,,,
735,0.400797385,1.017117787,1.439046878,2.478078702,2.763803914,2.884376907,,,
736,0.390784645,1.00883937,1.429839708,2.476264446,2.753801334,2.881123941,,,
737,0.382906056,0.98845277,1.419532249,2.473372922,2.753291684,2.875137396,,,
738,0.371195878,0.984249871,1.405453956,2.467076602,2.748869449,2.865213926,,,
739,0.357419431,0.962046942,1.397828232,2.45746585,2.742037668,2.863772017,,,
740,0.33963131,0.951658179,1.384074449,2.449183234,2.738878,2.865364003,,,
741,0.326332809,0.939111993,1.373623623,2.442226572,2.733882814,2.852777008,,,
742,0.31117488,0.921590916,1.371509327,2.443815898,2.729383192,2.847850718,,,
743,0.302263634,0.906779194,1.35601815,2.438715384,2.718622536,2.839465862,,,
744,0.292747758,0.903824705,1.349694082,2.427654372,2.719282143,2.836922372,,,
745,0.278140918,0.889356461,1.350842162,2.424098352,2.702860314,2.838514358,,,
746,0.253883446,0.881783034,1.327027771,2.41185767,2.702021043,2.837053202,,,
747,0.251161662,0.86630758,1.319923933,2.404655896,2.695410969,2.836886036,,,
748,0.234280636,0.853596354,1.308689048,2.405704821,2.680860361,2.836424328,,,
749,0.211851622,0.831052144,1.295990969,2.391620964,2.677989027,2.832248502,,,
750,0.192558486,0.821073816,1.28734408,2.385633555,2.674629253,2.828258042,,,
